,Unnamed: 0,name,list_date,amount,avg_price,p_pc,wom_index,title,rate,directors,actors,types,region,duration,url,release_year
32,32,捉妖记2,2018-02-16,223647.0,37.5,32.5,6.765,捉妖记2‎ (2018),5.0,许诚毅,梁朝伟|白百何|井柏然|李宇春|杨祐宁|大鹏|吴君如|曾志伟|黄磊|柳岩|吴莫愁|伍嘉成|赵磊|谷嘉诚|彭楚粤|陈泽希|郭子凡|肖战|焉栩嘉|夏之光|姜超|娄艺潇|张俪,喜剧|奇幻,中国大陆,110.0,https://movie.douban.com/subject/26575103/,2018
33,33,摩天营救,2018-07-20,60627.0,35.0,18.0,6.95,摩天营救 Skyscraper‎ (2018),6.4,罗森·马歇尔·瑟伯,道恩·强森|内芙·坎贝尔|黄经汉|罗兰·默勒|麦肯纳·罗伯茨|诺亚·科特雷尔|诺亚·泰勒|巴勃罗·施瑞博尔|凯文·兰金|昆凌|文峰|马特·欧莱瑞|比特里斯·金|马志|保罗·麦克吉莱恩|吴嘉星|艾德里安·霍姆斯|维努斯·特雷佐|杰特·克莱恩|拜伦·劳森|关永扬|法比欧·塔索恩|卡洛·余,动作|惊悚|冒险,美国,102.0,https://movie.douban.com/subject/26804147/,2018
34,34,新大头儿子和小头爸爸3：俄罗斯奇遇记,2018-07-06,15347.0,34.0,11.0,4.84,新大头儿子和小头爸爸3：俄罗斯奇遇记‎ (2018),5.0,何澄,刘纯燕|董浩|鞠萍|陈苏|耿晨晨|周志强|黄炜,儿童|动画|冒险|家庭,中国大陆,80.0,https://movie.douban.com/subject/30198729/,2018
35,35,无双,2018-09-30,116870.0,36.0,15.0,7.84,无双 無雙‎ (2018),8.1,庄文强,周润发|郭富城|张静初|冯文娟|廖启智|周家怡|王耀庆|方中信|高捷|邢佳栋|张松枝|张建声|吴嘉龙|孙佳君,剧情|动作|犯罪,中国大陆,130.0,https://movie.douban.com/subject/26425063/,2018
36,36,无问西东,2018-01-12,75399.0,31.5,16.0,7.94,无问西东‎ (2018),7.6,李芳芳,章子怡|黄晓明|张震|王力宏|陈楚生|铁政|祖锋|米雪|王盛德|韩童生|王鑫|郑铮|章泽天|黄梦莹|林美秀|保罗·菲利普·克拉克|胡家华|伊娜|吴谨言|纪帅|王天泽|伍麟凯|都金翰,剧情|爱情|战争,中国大陆,138.0,https://movie.douban.com/subject/6874741/,2018
37,37,星球大战：最后的绝地武士,2018-01-05,26751.0,37.0,14.0,7.59,星球大战8：最后的绝地武士 Star Wars: The Last Jedi‎ (2017),7.1,莱恩·约翰逊,马克·哈米尔|凯丽·费雪|黛西·雷德利|亚当·德赖弗|约翰·博耶加|奥斯卡·伊萨克|安迪·瑟金斯|露皮塔·尼永奥|多姆纳尔·格里森|安东尼·丹尼尔斯|格温多兰·克里斯蒂|凯莉·玛丽·陈|劳拉·邓恩|本尼西奥·德尔·托罗|弗兰克·奥兹|比莉·洛德|阿曼达·劳伦斯|吉米·维|贾斯汀·塞洛克斯|蒂姆·罗斯|汤姆·凯恩|亚德里安·埃德蒙松|马克·路易斯·琼斯|赫敏·科菲尔德|吴青芸|诺阿·西甘|保罗·卡塞|米凯拉·科尔|普莉安卡·伯福德|纳温·乔杜里|安德鲁·杰克|克里斯塔·克拉克|伊川东吾,动作|科幻|冒险,美国,152.0,https://movie.douban.com/subject/22265634/,2017
38,38,昨日青空,2018-10-26,6189.0,32.0,6.0,6.1,昨日青空‎ (2018),6.1,奚超,苏尚卿|王一博|段艺璇|马斑马|慧明,爱情|动画,中国大陆,82.0,https://movie.douban.com/subject/26290410/,2018
39,39,暴裂无声,2018-04-04,5377.0,32.0,6.0,7.33,暴裂无声‎ (2017),8.2,忻钰坤,宋洋|姜武|袁文康|谭卓|王梓尘|安琥|伊天锴,剧情|犯罪|悬疑,中国大陆,120.0,https://movie.douban.com/subject/26647117/,2017
40,40,李茶的姑妈,2018-09-30,49529.0,35.0,14.0,6.05,李茶的姑妈‎ (2018),5.1,吴昱翰,黄才伦|艾伦|宋阳|卢靖姗|沈腾,喜剧,中国大陆,113.0,https://movie.douban.com/subject/27092785/,2018
41,41,欧洲攻略,2018-08-17,15238.0,34.0,15.0,4.13,欧洲攻略‎ (2018),3.6,马楚成,梁朝伟|吴亦凡|唐嫣|杜鹃|林子祥|华栖龙|雅各布 格拉夫|元秋|刘家勇|罗莽|谢婷婷|周小飞|林德信|陈语安|黎烈弓|杰佳·亚宁,喜剧|动作|爱情,中国大陆,100.0,https://movie.douban.com/subject/26351812/,2018
42,42,比得兔,2018-03-02,15789.0,30.0,15.0,7.66,比得兔 Peter Rabbit‎ (2018),7.2,威尔·古勒,詹姆斯·柯登|多姆纳尔·格里森|萝丝·拜恩|伊丽莎白·德比茨基|玛格特·罗比|黛西·雷德利|科林·穆迪|山姆·尼尔|希雅|伊文·莱斯利|费萨尔·巴齐|克里斯蒂安·加扎尔|玛丽安娜·琼-巴普蒂斯特|加雷斯·戴维斯|山姆·哈夫特|萨莎·霍勒|娜塔丽·朱|特伦尼娅·爱德华兹|费利克斯·威廉森|许明珠|布莱恩·布朗|蕾切尔·沃德|大卫·文翰|威尔·赖歇尔特,喜剧|动画|冒险,美国,95.0,https://movie.douban.com/subject/26649604/,2018
43,43,江湖儿女,2018-09-21,5373.0,34.0,8.0,0.0,江湖儿女‎ (2018),7.7,贾樟柯,赵涛|廖凡|徐峥|梁嘉艳|刁亦男|张一白|丁嘉丽|张译|董子健|李宣|查娜|冯家妹|康亢|张晓军|柳敏|王谭|原文倩,爱情|犯罪,中国大陆,137.0,https://movie.douban.com/subject/26972258/,2018
